   233.822,  -17.172,  -16.579
   235.036,  -17.063,  -16.467
   236.256,  -16.954,  -16.355
   237.483,  -16.845,  -16.244
   238.716,  -16.737,  -16.133
   239.956,  -16.630,  -16.023
   241.202,  -16.523,  -15.914
   242.454,  -16.416,  -15.805
   243.713,  -16.310,  -15.696
   244.979,  -16.205,  -15.588
   246.251,  -16.100,  -15.481
   247.529,  -15.996,  -15.375
   248.815,  -15.892,  -15.269
   250.107,  -15.790,  -15.164
   251.405,  -15.687,  -15.060
   252.711,  -15.585,  -14.957
   254.023,  -15.484,  -14.854
   255.342,  -15.384,  -14.753
   256.668,  -15.284,  -14.652
   258.001,  -15.185,  -14.552
   259.341,  -15.086,  -14.453
   260.687,  -14.989,  -14.355
   262.041,  -14.891,  -14.258
   263.402,  -14.795,  -14.162
   264.769,  -14.699,  -14.067
   266.144,  -14.604,  -13.973
   267.526,  -14.510,  -13.880
   268.915,  -14.416,  -13.788
   270.312,  -14.324,  -13.697
   271.715,  -14.232,  -13.607
   273.126,  -14.140,  -13.518
   274.545,  -14.049,  -13.430
   275.970,  -13.959,  -13.344
   277.403,  -13.870,  -13.258
   278.844,  -13.781,  -13.174
   280.292,  -13.693,  -13.090
   281.747,  -13.606,  -13.008
   283.210,  -13.519,  -12.926
   284.681,  -13.433,  -12.846
   286.159,  -13.348,  -12.767
   287.645,  -13.263,  -12.688
   289.138,  -13.178,  -12.611
   290.640,  -13.094,  -12.535
   292.149,  -13.011,  -12.459
   293.666,  -12.927,  -12.385
   295.191,  -12.844,  -12.311
   296.724,  -12.762,  -12.238
   298.264,  -12.679,  -12.166
   299.813,  -12.597,  -12.095
   301.370,  -12.514,  -12.024
   302.935,  -12.432,  -11.955
   304.508,  -12.350,  -11.885
   306.089,  -12.267,  -11.817
   307.679,  -12.184,  -11.748
   309.276,  -12.101,  -11.681
   310.882,  -12.018,  -11.613
   312.497,  -11.934,  -11.546
   314.119,  -11.849,  -11.479
   315.750,  -11.764,  -11.412
   317.390,  -11.678,  -11.346
   319.038,  -11.591,  -11.279
   320.695,  -11.503,  -11.212
   322.360,  -11.414,  -11.145
   324.034,  -11.324,  -11.078
   325.716,  -11.232,  -11.010
   327.408,  -11.139,  -10.942
   329.108,  -11.045,  -10.874
   330.817,  -10.950,  -10.805
   332.535,  -10.852,  -10.735
   334.261,  -10.753,  -10.664
   335.997,  -10.653,  -10.592
   337.742,  -10.550,  -10.519
   339.495,  -10.446,  -10.446
   341.258,  -10.340,  -10.370
   343.030,  -10.232,  -10.294
   344.812,  -10.122,  -10.216
   346.602,  -10.010,  -10.137
   348.402,   -9.896,  -10.057
   350.211,   -9.781,   -9.974
   352.029,   -9.663,   -9.890
   353.857,   -9.543,   -9.804
   355.695,   -9.422,   -9.717
   357.542,   -9.298,   -9.627
   359.398,   -9.173,   -9.535
   361.265,   -9.047,   -9.442
   363.141,   -8.918,   -9.346
   365.026,   -8.788,   -9.249
   366.922,   -8.657,   -9.149
   368.827,   -8.524,   -9.048
   370.742,   -8.391,   -8.944
   372.667,   -8.256,   -8.838
   374.602,   -8.120,   -8.730
   376.548,   -7.983,   -8.620
   378.503,   -7.845,   -8.508
   380.468,   -7.707,   -8.394
   382.444,   -7.569,   -8.278
   384.430,   -7.430,   -8.160
   386.426,   -7.291,   -8.040
   388.433,   -7.152,   -7.918
   390.450,   -7.013,   -7.794
   392.477,   -6.874,   -7.669
   394.515,   -6.736,   -7.543
   396.564,   -6.599,   -7.414
   398.623,   -6.462,   -7.284
   400.693,   -6.326,   -7.153
   402.773,   -6.191,   -7.021
   404.865,   -6.057,   -6.887
   406.967,   -5.924,   -6.752
   409.080,   -5.792,   -6.616
   411.204,   -5.662,   -6.478
   413.340,   -5.533,   -6.340
   415.486,   -5.406,   -6.201
   417.644,   -5.281,   -6.062
   419.812,   -5.157,   -5.921
   421.992,   -5.035,   -5.780
   424.183,   -4.915,   -5.638
   426.386,   -4.797,   -5.495
   428.600,   -4.680,   -5.352
   430.826,   -4.566,   -5.209
   433.063,   -4.454,   -5.065
   435.311,   -4.343,   -4.921
   437.572,   -4.235,   -4.776
   439.844,   -4.128,   -4.631
   442.128,   -4.024,   -4.486
